doi,paper_title,year,journal,sub_field,data_source,best_algorithm,best_metric_type,best_metric_value,validation_method,interpretability_method,model_framework,control_loop_type,scale,dataset_size,time_span,real_time_testing,deployed_in_plant,uses_real_wastewater,code_available,data_available,uncertainty_quantification,ml_algorithms,target_variable
10.3390/pr13010280,Agent Addition to Coal Slurry Water Using Data-Driven Intelligent Control,2025,Processes,coagulation,SCADA,LSTM,RMSE,1.6572,random_split,none,not_specified,closed_loop,full_scale,582.0,3 months,True,True,True,False,False,False,ANN; BP; GNN; LSTM; RNN; SVM,flocculant (PAM) and coagulant (PAC) dosage; flocculant and coagulant dosage
10.3390/pr13061664,Intelligent Effluent Management: AI-Based Soft Sensors for Organic and Nutrient Quality Monitoring,2025,Processes,WWTP,SCADA,ANN,R2,0.736,k_fold,none,matlab,none,full_scale,185.0,3 years,False,False,True,False,False,True,ANN; KSOM,BOD; COD; TN; TP; effluent TN and TP; effluent TSS
10.3390/pr13072301,The Operational Nitrogen Indicator (ONI): An Intelligent Index for the Wastewater Treatment Plant’s Optimization,2025,Processes,WWTP,SCADA,GBM,R2,0.81671,random_split,none,not_specified,advisory,full_scale,423.0,9 months,False,False,True,False,False,False,ANN; DT; GBM; KNN; LR; PR; RF; SVM; SVR,effluent total nitrogen; effluent total nitrogen concentration
10.3390/pr13082352,Predictive Framework for Membrane Fouling in Full-Scale Membrane Bioreactors (MBRs): Integrating AI-Driven Feature Engineering and Explainable AI (XAI),2025,Processes,membrane,SCADA,CatBoost,R2,0.8374,temporal_split,SHAP,not_specified,advisory,full_scale,194.0,194 days,False,False,True,False,False,False,Bayesian; CatBoost; Elastic Net; LR; Lasso; Ridge; XGBoost,specific flux (flux/TMP)
10.3390/pr9010085,Integration of Artificial Intelligence into Biogas Plant Operation,2021,Processes,sludge,not_specified,ANN,other,,none_reported,none,not_specified,none,mixed,,,False,False,False,False,False,False,ANFIS; ANN; Fuzzy Logic; GA; KNN; LR; PSO; RF; SVM; XGBoost,biogas production and methane yield; biogas/methane production prediction and process optimization in anaerobic digestion
10.3390/pr9091633,Data Driven Detection of Different Dissolved Oxygen Sensor Faults for Improving Operation of the WWTP Control System,2021,Processes,monitoring,simulated,PCA,other,,temporal_split,feature_importance,matlab,open_loop,simulation,3840.0,40 days,False,False,False,False,False,False,PCA,DO sensor fault; DO sensor fault detection (T2 and SPE statistics); DO sensor fault detection (bias; complete failure); drift; fixed value; loss of accuracy; wrong gain
10.3390/pr9091639,Development of an Adaptive Model for the Rate of Steel Corrosion in a Recirculating Water System,2021,Processes,monitoring,SCADA,RF,MSE,0.000127,random_split,none,pytorch,none,full_scale,271.0,2 years,False,False,True,False,False,False,AIGA; ANN; BPNN; GA; IGA; PCA; RF; SVR,carbon steel corrosion rate; carbon steel corrosion rate in recirculating cooling water
10.3390/pr9112059,Optimization and Modeling of Ammonia Nitrogen Removal from High Strength Synthetic Wastewater Using Vacuum Thermal Stripping,2021,Processes,WWTP,experimental,ANN,R2,0.998,random_split,none,matlab,none,lab,60.0,,False,False,False,False,False,False,ANN; RSM,NH3-N removal efficiency; NH3-N removal efficiency (%)
10.3390/s18040938,Application of Least-Squares Support Vector Machines for Quantitative Evaluation of Known Contaminant in Water Distribution System Using Online Water Quality Parameters,2018,Sensors,monitoring,experimental,LSSVM,R2,0.9992,random_split,none,matlab,none,lab,12.0,,False,False,False,False,False,False,ANN; GA; LR; LS-SVM; LSSVM; PSO; SVR,contaminant concentration (potassium ferricyanide) in water distribution system; potassium ferricyanide concentration
10.3390/s18113742,Enhanced Clean-In-Place Monitoring Using Ultraviolet Induced Fluorescence and Neural Networks,2018,Sensors,monitoring,experimental,RNN,MSE,0.0,external,none,matlab,none,lab,,,False,False,False,False,False,False,ANN; MLP; NARX; RNN,cleaning time; cleaning time (time when fouling volume reaches zero)
10.3390/s19061280,ANN-Based Soft Sensor to Predict Effluent Violations in Wastewater Treatment Plants,2019,Sensors,WWTP,simulated,LSTM,R2,0.98,k_fold,none,tensorflow,advisory,simulation,58464.0,609 days,False,False,False,False,False,False,ANN; LSTM; MLP; RNN,e) and total nitrogen (SNtot; e) concentrations; effluent SNH and SNtot; effluent ammonium (SNH
10.3390/s19143139,Machine Learning Weather Soft-Sensor for Advanced Control of Wastewater Treatment Plants,2019,Sensors,control,simulated,KNN,accuracy,0.85,k_fold,none,r,advisory,simulation,1344.0,3 weeks,False,False,False,False,False,False,Bayesian; DT; KNN; RF; SVM,current weather signal (dry; or storm); rain; storm); weather condition classification (dry; weather conditions (dry
10.3390/s20051342,Prognosis of Water Quality Sensors Using Advanced Data Analytics: Application to the Barcelona Drinking Water Network,2020,Sensors,monitoring,SCADA,Brown,other,,k_fold,none,r,advisory,full_scale,,5-16 days per scenario,False,False,True,False,False,True,ANN; DT; QRF; RF; SVM; SVR,chlorine concentration; remaining useful life (RUL) of chlorine sensors; remaining useful life (RUL) of chlorine sensors / chlorine concentration decay forecast
10.3390/s20071941,Soft Sensor Application in Identification of the Activated Sludge Bulking Considering the Technological and Economical Aspects of Smart Systems Functioning,2020,Sensors,WWTP,SCADA,BT,other,1.0,random_split,none,not_specified,advisory,full_scale,250.0,2013-2015,False,False,True,False,False,True,ANN; BT; GBM; LR; MLP; RF; SVM,activated sludge bulking (SVI classification); activated sludge bulking (binary SVI > 150 cm3/g); activated sludge bulking (binary classification of SVI threshold exceedance)
10.3390/s20133743,Denoising Autoencoders and LSTM-Based Artificial Neural Networks Data Processing for Its Application to Internal Model Control in Industrial Environments—The Wastewater Treatment Plant Control Case,2020,Sensors,control,simulated,LSTM,R2,0.99,k_fold,none,tensorflow,closed_loop,simulation,35040.0,1 year,False,False,False,False,False,False,ANN; ARIMA; DAE; LSTM; MLP; MPC; PCA; RNN,5); 5) concentration; 5) in fifth reactor tank; dissolved oxygen (SO; dissolved oxygen concentration (SO
10.3390/s20133804,A Novel Just-in-Time Learning Strategy for Soft Sensing with Improved Similarity Measure Based on Mutual Information and PLS,2020,Sensors,WWTP,mixed,MI-PLS-LWPLS,RMSE,0.0135,random_split,feature_importance,not_specified,none,full_scale,2394.0,,False,False,False,False,False,False,ED; GPR; LWPLS; MI; PLS; SVR,Butane concentration; butane concentration; butane concentration at the bottom of debutanizer column
10.3390/s20195631,Wastewater Quality Estimation through Spectrophotometry-Based Statistical Models,2020,Sensors,monitoring,experimental,GA,other,4.0,random_split,feature_importance,tensorflow,none,full_scale,200.0,10 months,False,False,True,False,False,False,GA; LR,BOD5; COD; NO3-N; NO3-N concentration; NO3-N concentrations; P; TN; TSS; effluent COD; effluent and influent COD
10.3390/s20216139,A Novel Ensemble Adaptive Sparse Bayesian Transfer Learning Machine for Nonlinear Large-Scale Process Monitoring,2020,Sensors,monitoring,mixed,EAdspB-TLM,accuracy,0.9677,temporal_split,none,matlab,none,full_scale,,7 months,False,False,True,False,False,True,AdaBoost; Bayesian; PCA; PrRVM; RVM; SVM,fault detection / sludge bulking classification in WWTP; fault diagnosis (sludge bulking and chemical process faults); filamentous sludge bulking
10.3390/s20226671,Spectrophotometric Online Detection of Drinking Water Disinfectant: A Machine Learning Approach,2020,Sensors,DBP,SCADA,SVR,R2,0.76,k_fold,none,not_specified,open_loop,full_scale,,4 months,False,False,True,False,False,False,LR; PCA; RSM; SVR,monochloramine residual concentration
10.3390/s21030823,RNN- and LSTM-Based Soft Sensors Transferability for an Industrial Process,2021,Sensors,WWTP,SCADA,RNN,other,0.84,temporal_split,none,matlab,advisory,full_scale,24482.0,17 days,False,False,False,False,False,False,LSTM; RNN,H2S and SO2 concentration; H2S and SO2 concentration in tail gas of Sulfur Recovery Unit
10.3390/s21186315,Transfer Learning in Wastewater Treatment Plant Control Design: From Conventional to Long Short-Term Memory-Based Controllers,2021,Sensors,control,simulated,LSTM,R2,0.999,random_split,none,tensorflow,closed_loop,simulation,,1 year,False,False,False,False,False,False,LSTM,5 and Qa); 5 and internal recirculation flow rate Qa); 5 or Qa); actuator signals (KLa; control actuation signal (oxygen transfer coefficient KLa; control actuation signals (KLa
10.3390/s21196679,Anomaly Detection of Water Level Using Deep Autoencoder,2021,Sensors,monitoring,SCADA,ANN,F1,0.999,walk_forward,none,keras,none,full_scale,2419100.0,4 weeks,False,False,True,False,False,False,ANN; DNN; LSTM; PCA; RF; SVM,water level anomaly; water level anomaly (normal vs. abnormal classification)
10.3390/s21227525,Development of an Optical Method to Monitor Nitrification in Drinking Water,2021,Sensors,monitoring,experimental,SVR,R2,0.99,k_fold,none,r,none,lab,,8 weeks,False,False,True,False,False,False,LR; SVR,combined nitrate and nitrite (NOx-) concentration; combined nitrate and nitrite concentration (NOx-N)
10.3390/s22020422,Water Quality Indicator Interval Prediction in Wastewater Treatment Process Based on the Improved BES-LSSVM Algorithm,2022,Sensors,WWTP,SCADA,IBES-LSSVM,R2,0.9911,random_split,none,not_specified,none,full_scale,365.0,2 months,False,False,True,False,False,True,ANN; CNN; ELMAN; GWO; IBES; LSSVM; LSTM; PSO; RNN; SSA; WOA,effluent BOD and NH3-N; effluent BOD and NH3-N concentration; effluent BOD and effluent NH3-N concentration
10.3390/s22134668,Possibilities of Real Time Monitoring of Micropollutants in Wastewater Using Laser-Induced Raman &amp; Fluorescence Spectroscopy (LIRFS) and Artificial Intelligence (AI),2022,Sensors,monitoring,experimental,CNN,accuracy,0.95,random_split,none,not_specified,none,mixed,2266.0,2 weeks,False,False,True,False,False,False,Adam; CNN; LR,etc.); micropollutant and nutrient identification and concentration (DOC; micropollutant and substance class identification from spectral data; micropollutant substance class and DOC concentration; naproxen; nitrate; tryptophan
10.3390/s22186887,Industrial Soft Sensor Optimized by Improved PSO: A Deep Representation-Learning Approach,2022,Sensors,WWTP,literature_compiled,RB-PSOSAE,RMSE,0.025604,random_split,none,not_specified,none,full_scale,2384.0,,False,False,False,False,False,False,AE; ANN; CNN; DNN; GS; LSTM; PSO; RS; SAE,Butane C4 content; Butane C4 content in IC5; butane C4 content in debutanizer column bottom product
10.3390/s23031061,Data Augmentation for a Virtual-Sensor-Based Nitrogen and Phosphorus Monitoring,2023,Sensors,monitoring,experimental,KNN,RMSE,0.0121,k_fold,SHAP,sklearn,none,full_scale,21657.0,2 years,False,False,False,False,True,False,DNN; ERT; ET; KNN; SVR; VAE; XGB; XGBoost,NH4; NO3; TP concentrations; TP); TRP; nitrogen and phosphorus concentrations; nitrogen and phosphorus concentrations (NO3; river water NH4
10.3390/s23115151,The Smart Predicting of Algal Concentration for Safer Drinking Water Production with Sensor Data,2023,Sensors,monitoring,mixed,ANN,R2,0.719,temporal_split,none,matlab,none,full_scale,2000.0,7 years,False,False,True,False,False,False,ANN; FNN,algae concentration; algal cell concentration
10.3390/s23198022,Semi-Supervised Anomaly Detection of Dissolved Oxygen Sensor in Wastewater Treatment Plants,2023,Sensors,monitoring,simulated,Conv-AE,accuracy,0.9864,random_split,none,tensorflow,advisory,simulation,58465.0,609 days,False,False,False,True,True,False,ANN; CNN; IF; LOF; OCSVM,DO sensor and aeration valve anomalies; DO sensor and aeration valve anomaly detection (binary classification); anomaly detection in dissolved oxygen sensor and aeration valve (binary: normal vs. fault)
10.3390/s23208578,Rapid Method of Wastewater Classification by Electronic Nose for Performance Evaluation of Bioreactors with Activated Sludge,2023,Sensors,WWTP,experimental,ET,accuracy,1.0,random_split,none,sklearn,none,lab,611.0,60 days,False,False,True,False,False,False,DBSCAN; ET; PCA; k-NN,bioreactor operating state; bioreactor operational state classification (normal phases vs. malfunction); decantation; mixing/aeration; operating stage (filling; or malfunction); sedimentation
10.3390/s23208613,Real-Time Anomaly Detection for Water Quality Sensor Monitoring Based on Multivariate Deep Learning Technique,2023,Sensors,monitoring,not_specified,MCN-LSTM,F1,0.93,random_split,none,pytorch,none,full_scale,,,False,False,True,False,False,False,ANN; CNN; LSTM; MCN-LSTM; RNN; SVM,anomaly classification (normal vs anomalous water quality data); water quality anomaly detection; water quality anomaly detection (normal vs. anomalous)
10.3390/s23218679,Multivariable Coupled System Control Method Based on Deep Reinforcement Learning,2023,Sensors,control,simulated,RL,other,1.15,none_reported,none,matlab,closed_loop,simulation,,,False,False,False,False,False,False,DNN; PPO; RL,CV2) for multivariable coupled system; MV2) for concrete reactor quick-drying property and strength; controlled variable setpoint tracking in multivariable coupled system; controlled variables (CV1; multivariable system control actions (MV1
10.3390/s23229236,Design of a Soft Sensor Based on Long Short-Term Memory Artificial Neural Network (LSTM) for Wastewater Treatment Plants,2023,Sensors,WWTP,simulated,LSTM,R2,0.97,random_split,none,tensorflow,none,simulation,5020.0,120 hours,False,False,False,False,True,False,ANN; FFNN; LSTM; RNN,Easily biodegradable soluble substrate (X1) and slowly biodegradable particulate substrate (X2); soluble substrate X1 and particulate substrate X2 concentrations for TCOD quality index
10.3390/s24041180,An IoT Real-Time Potable Water Quality Monitoring and Prediction Model Based on Cloud Computing Architecture,2024,Sensors,monitoring,experimental,DT,accuracy,0.97887,random_split,none,not_specified,advisory,full_scale,2837.0,,True,False,True,False,False,False,ANN; DT; GB; GBM; NN; RF; SVM,drinkability (binary classification); drinkable water status; drinking water potability classification (drinkable or non-drinkable)
10.3390/s24051568,Digital Twin Platform for Water Treatment Plants Using Microservices Architecture,2024,Sensors,control,not_specified,LSTM,F1,0.981,random_split,none,tensorflow,advisory,simulation,,2 years,False,False,False,False,False,False,LSTM; PCA; RNN,breakdown; or recovery); pump operational state; pump operational state (normal; water pump driver failure state (normal vs. breakdown/recovery) 10 minutes ahead
10.3390/s24082537,Optimisation and Calibration of Bayesian Neural Network for Probabilistic Prediction of Biogas Performance in an Anaerobic Lagoon,2024,Sensors,sludge,SCADA,LSTM,other,0.074,temporal_split,attention_weights,not_specified,none,full_scale,2795.0,7 years 8 months,False,False,True,False,False,True,ANN; BNN; Bayesian; BiLSTM; GMM; LSTM; MDN; RNN,biogas collection rate
10.3390/s25061692,Evaluating Machine Learning-Based Soft Sensors for Effluent Quality Prediction in Wastewater Treatment Under Variable Weather Conditions,2025,Sensors,WWTP,simulated,GRU,R2,0.97,k_fold,none,tensorflow,none,simulation,34944.0,364 days,False,False,False,False,False,False,GRU; LSTM; RF; Transformer,BOD5); COD; SNKj; SNO; TSS; effluent quality index (EQI) components (TSS; effluent quality index parameters (COD; effluent quality parameters (COD
10.3390/su11164407,The Use of Artificial Neural Networks and Decision Trees to Predict the Degree of Odor Nuisance of Post-Digestion Sludge in the Sewage Treatment Plant Process,2019,Sustainability,sludge,experimental,ANN,MAPE,30.0,k_fold,none,r,advisory,full_scale,540.0,,False,False,True,False,False,False,ANN; DT,odor intensity and hedonic tone; odor intensity and hedonic tone of post-fermentation sludge
10.3390/su12166348,Intelligent System for the Predictive Analysis of an Industrial Wastewater Treatment Process,2020,Sustainability,WWTP,SCADA,ANN,MAPE,10.8,temporal_split,none,tensorflow,advisory,full_scale,847.0,2 years and 6 months,False,False,True,False,False,False,ANN; MLP,COD at the input of the bioreactor (equalizer COD); Equalizer COD concentration; effluent COD at the input of the bioreactor
10.3390/su142315598,Predicting Effluent Quality in Full-Scale Wastewater Treatment Plants Using Shallow and Deep Artificial Neural Networks,2022,Sustainability,WWTP,experimental,ANN,other,0.94,random_split,none,matlab,none,full_scale,198.0,3 years,False,False,True,False,False,False,ANFIS; ANN; CNN; DNN; FFNN; MLR; RF; RNN; SAE; SNN; SVM,BOD5; NO3 concentrations; NO3-; NO3- concentrations; PO4; PO4-3; effluent COD
10.3390/su151712875,An Application of Ultrasonic Waves in the Pretreatment of Biological Sludge in Urban Sewage and Proposing an Artificial Neural Network Predictive Model of Concentration,2023,Sustainability,sludge,experimental,ANN,R2,0.98,random_split,none,not_specified,none,lab,126.0,,False,False,True,False,False,False,ANN; RF,concentration; sludge concentration
10.3390/su151813380,Analysis of Machine Learning Models for Wastewater Treatment Plant Sludge Output Prediction,2023,Sustainability,sludge,SCADA,XGBoost,R2,0.8218,random_split,SHAP,sklearn,none,full_scale,731.0,2 years,False,False,True,False,False,False,ANN; Bayesian; DT; FCNN; KNN; LR; RF; SVR; XGBoost,daily sludge production volume; sludge quantity; sludge quantity (m³/d)
10.3390/toxics13050349,A Deep Learning Algorithm for Multi-Source Data Fusion to Predict Effluent Quality of Wastewater Treatment Plant,2025,Toxics,WWTP,SCADA,GRU,R2,0.972,random_split,feature_importance,not_specified,none,full_scale,8689.0,1 year,False,False,True,False,False,False,ANN; GRU; KNN; LSTM; MLP; RF,NH3-N; TN; and TP; and TP concentrations; effluent COD
10.3390/w11071317,Application of a Parallel Particle Swarm Optimization-Long Short Term Memory Model to Improve Water Quality Data,2019,Water,WWTP,SCADA,PSO-LSTM,RMSE,23.11,random_split,none,tensorflow,none,full_scale,23268.0,2 years 8 months,False,False,True,False,False,False,ANN; Bayesian; DT; LSTM; PSO; SVR,TN; TP; effluent water quality indicators (COD; inlet water quality indicators (COD; pH); water quality indicators (COD
10.3390/w11112397,A Simple Approach to Predicting the Reliability of Small Wastewater Treatment Plants,2019,Water,WWTP,experimental,RF,accuracy,0.642,random_split,feature_importance,r,none,full_scale,90.0,1 year,False,False,True,False,False,False,GBM; LR; RF,exceedance of tCOD effluent concentration over site-specific design concentration (binary classification); tCOD effluent concentration exceedance; tCOD effluent reliability (exceedance of design concentration)
10.3390/w13091237,A Random Forest Model for the Prediction of FOG Content in Inlet Wastewater from Urban WWTPs,2021,Water,WWTP,mixed,RF,R2,0.9348,random_split,feature_importance,r,none,full_scale,89.0,2 years 4 months,False,False,True,False,False,False,MARS; RF; SVM; SVR,FOG content (total weight per container); FOG content in inlet wastewater
10.3390/w13182547,Machine Learning Models Applied to Manage the Operation of a Simple SWRO Desalination Plant and Its Application in Marine Vessels,2021,Water,membrane,experimental,DT,RMSE,0.0104,k_fold,none,matlab,advisory,pilot,828.0,24 hours,False,False,True,False,False,False,DT; SVM; SVR,HPP operating pressure and feed flow rate; high-pressure pump operating pressure and feed flow rate
10.3390/w13192617,Appraising the Impact of Pressure Control on Leakage Flow in Water Distribution Networks,2021,Water,control,simulated,RL,other,10.64,none_reported,none,not_specified,closed_loop,simulation,,,False,False,False,False,False,False,RL,optimal PRV settings; optimal pressure reducing valve settings; optimal pressure reducing valve settings for leakage minimisation
10.3390/w13192633,Detection and Identification of Organic Pollutants in Drinking Water from Fluorescence Spectra Based on Deep Learning Using Convolutional Autoencoder,2021,Water,monitoring,experimental,CAE + XGBoost,F1,1.0,temporal_split,none,not_specified,none,lab,,3 months,False,False,True,False,False,False,ANN; CAE; CNN; PARAFAC; PCA; SVM; XGBoost,organic pollutant category (phenol; organic pollutant type classification; organic pollutant type identification (phenol; rhodamine B; salicylic acid); salicylic acid) in drinking water
10.3390/w13243659,Process Monitoring of Quality-Related Variables in Wastewater Treatment Using Kalman-Elman Neural Network-Based Soft-Sensor Modeling,2021,Water,WWTP,SCADA,Elman-SR-UKF,other,0.949,random_split,none,matlab,none,full_scale,400.0,2 years,False,False,True,False,True,False,ANN; BPTT; ELM; GPR; LM; RNN; SR-UKF,BOD; BOD (DBO-S); DBO-S; and SS-S; and suspended solids; and suspended solids (SS-S); effluent COD; effluent COD (DQO-S); effluent DQO-S
10.3390/w14050761,The Robust Study of Deep Learning Recursive Neural Network for Predicting of Turbidity of Water,2022,Water,monitoring,experimental,RNN,R2,0.961,temporal_split,none,tensorflow,none,full_scale,72.0,2 months,False,False,True,False,False,False,ANN; LR; RNN,turbidity; water turbidity; water turbidity in reservoir
10.3390/w14050791,The Impact of Wastewater Quality and Flow Characteristics on H2S Emissions Generation: Statistical Correlations and an Artificial Neural Network Model,2022,Water,WWTP,experimental,ANN,other,0.92,random_split,none,matlab,none,full_scale,42.0,48 hours per sampling event,False,False,True,False,False,False,ANN,H2S concentration; H2S concentration in headspace air; H2S concentration in wastewater treatment plant headspace
10.3390/w14071053,Enhancing Real-Time Prediction of Effluent Water Quality of Wastewater Treatment Plant Based on Improved Feedforward Neural Network Coupled with Optimization Algorithm,2022,Water,WWTP,SCADA,ANN,R2,0.76,random_split,none,not_specified,none,full_scale,1700.0,1 year,False,False,True,False,False,False,ANN; FFNN; GA; IFFNN; RNN,effluent COD; effluent COD and TN concentration; effluent COD and TN concentrations
10.3390/w14091410,Artificial Neural Network (ANN) Modelling for Biogas Production in Pre-Commercialized Integrated Anaerobic-Aerobic Bioreactors (IAAB),2022,Water,sludge,SCADA,ANN,R2,0.997,random_split,feature_importance,matlab,advisory,pilot,96.0,6 months,False,False,True,False,False,False,ANN,COD removal; methane purity; methane yield; methane yield (LCH4/gCODremoved)
10.3390/w14162588,Laboratory Development of an AI System for the Real-Time Monitoring of Water Quality and Detection of Anomalies Arising from Chemical Contamination,2022,Water,monitoring,experimental,LR,accuracy,,random_split,none,sklearn,none,lab,26318.0,4-14 days,False,False,True,False,False,False,LR; PCA,BAP); CTN; MBT; PYR; TPN; anomaly detection and contaminant classification; chemical contaminant type classification; chemical contamination anomaly classification (6CNA
10.3390/w14193147,Investigating Machine Learning Applications for Effective Real-Time Water Quality Parameter Monitoring in Full-Scale Wastewater Treatment Plants,2022,Water,WWTP,SCADA,MAGRU,R2,0.981,walk_forward,feature_importance,not_specified,advisory,full_scale,1464.0,2 months,True,False,True,False,False,False,ANN; DT; GRU; LR; LSTM; MAGRU; MLP; MLR; PLS; RNN,effluent total nitrogen (TN) concentration; effluent total nitrogen concentration
10.3390/w14223591,Real-Time Data-Processing Framework with Model Updating for Digital Twins of Water Treatment Facilities,2022,Water,monitoring,experimental,NGBoost,MAE,0.01,random_split,none,sklearn,advisory,pilot,218952.0,,True,False,False,False,False,True,DT; NGBoost,pH value; pH value (sensor AIT202); pH value after chemical dosing stage
10.3390/w15010103,Machine Learning Approach for Rapid Estimation of Five-Day Biochemical Oxygen Demand in Wastewater,2022,Water,WWTP,experimental,ANN,RMSE,16.8563,random_split,none,matlab,none,full_scale,387.0,7 years,False,False,True,False,False,False,ANN; LM,BOD5 concentration; five-day biochemical oxygen demand (BOD5); five-day biochemical oxygen demand (BOD5) concentration in wastewater
10.3390/w15040674,Predicting Higher Heating Value of Sewage Sludges via Artificial Neural Network Based on Proximate and Ultimate Analyses,2023,Water,sludge,experimental,ANN,R2,0.975,random_split,none,matlab,none,full_scale,120.0,10 months,False,False,True,False,False,False,ANN; BPNN,Higher Heating Value (HHV); higher heating value (HHV); higher heating value (HHV) of sewage sludge
10.3390/w15061126,A Non-Hybrid Data-Driven Fuzzy Inference System for Coagulant Dosage in Drinking Water Treatment Plant: Machine-Learning for Accurate Real-Time Prediction,2023,Water,coagulation,SCADA,D2FIS,RMSE,0.69,k_fold,partial_dependence,r,none,full_scale,291.0,1 year,False,False,True,False,False,False,ANFIS; ANN; CCN; D2FIS; GEP; GMDH; MLP; PNN; RBFN; RF; SGT; SVM; SVR,coagulant (PAC) dosage (mg/L); coagulant dosage (PAC mg/L); coagulant polyaluminum chloride (PAC) dosage
10.3390/w15061131,Online Control of the Raw Water System of a High-Sediment River Based on Deep Reinforcement Learning,2023,Water,control,mixed,RL,other,4.639,temporal_split,none,not_specified,closed_loop,full_scale,7305.0,20 years,False,False,True,False,False,False,ANN; MLP; PPO; RL,pump operation (pumping station water withdrawal and energy consumption); pump operation strategy for water intake (minimizing energy consumption and suspended sediment concentration per unit water withdrawal); suspended sediment concentration (SSC) and pump control actions
10.3390/w15091779,LSTM-Based Model-Predictive Control with Rationality Verification for Bioreactors in Wastewater Treatment,2023,Water,control,SCADA,LSTM,NSE,0.994749,random_split,none,tensorflow,closed_loop,full_scale,30000.0,3 months,False,False,True,True,True,False,ANN; DNN; LSTM; MPC,MLSS; ORP; Oxic NO3); bioreactor state variables (DO
10.3390/w15101960,Simulation and Dynamic Properties Analysis of the Anaerobic–Anoxic–Oxic Process in a Wastewater Treatment PLANT Based on Koopman Operator and Deep Learning,2023,Water,WWTP,SCADA,DNN,NSE,0.99,random_split,none,not_specified,none,full_scale,49901.0,5.5 months,False,False,True,True,True,False,DLEDMD; DNN,NH4-N; NO3); NO3-; NO3-N); TN; TP; effluent COD; effluent quality (COD; effluent water quality (COD
10.3390/w15112079,Fault Detection of Wastewater Treatment Plants Based on an Improved Kernel Extreme Learning Machine Method,2023,Water,monitoring,mixed,IMBES-KELM,R2,0.9991,temporal_split,none,matlab,none,mixed,1344.0,14 days,False,False,True,False,False,True,CNN; ELM; KELM; KPCA; LSSVM; LSTM; PCA; SVR,BOD; COD); S_S; TSS; TSS); effluent quality parameters (BOD; effluent quality parameters (COD; etc.)
10.3390/w15132349,Unlocking the Potential of Wastewater Treatment: Machine Learning Based Energy Consumption Prediction,2023,Water,WWTP,mixed,KNN,RMSE,37.33,k_fold,feature_importance,not_specified,none,full_scale,1382.0,5 years,False,False,True,False,True,False,ANN; BNN; BST; BT; Bagging; DT; GBM; GPR; GRU; KNN; LSTM; LightGBM; MNN; NNN; ODT; ONN; RF; RNN; SARIMAX; SVR; TNN; WNN; XGBoost; kNN,daily energy consumption (MWh); energy consumption
10.3390/w15193325,Prediction of Wastewater Treatment Plant Effluent Water Quality Using Recurrent Neural Network (RNN) Models,2023,Water,WWTP,SCADA,LSTM,R2,0.985,random_split,none,sklearn,none,full_scale,,2015 to 2018,False,False,True,False,False,False,LSTM; RNN,effluent BOD5; effluent BOD5 concentration
10.3390/w15193515,Integrated Modeling of Hybrid Nanofiltration/Reverse Osmosis Desalination Plant Using Deep Learning-Based Crow Search Optimization Algorithm,2023,Water,membrane,experimental,LSTM-CSA,RMSE,0.4463,k_fold,none,not_specified,none,pilot,73.0,,False,False,True,False,False,True,ANN; CSA; GA; LSSVM; LSTM; PSO; RF; RNN,permeate conductivity; permeate conductivity (µS/cm)
10.3390/w15244200,Machine Learning Techniques in Dosing Coagulants and Biopolymers for Treating Leachate Generated in Landfills,2023,Water,coagulation,experimental,SVM,R2,0.88,k_fold,none,r,none,lab,150.0,,False,False,True,False,True,False,ANN; CART; DT; GLM; KNN; LR; SVM; SVR,ferric chloride dosage; turbidity after coagulation-flocculation treatment
10.3390/w16010168,Bayesian Optimization for Contamination Source Identification in Water Distribution Networks,2023,Water,monitoring,simulated,RF,other,0.5975,none_reported,none,not_specified,advisory,simulation,,48 hours,False,False,False,False,False,True,BO; Bayesian; GP; GPR; RF,and concentration; and concentration); and concentration) in water distribution networks; contaminant source characteristics (location; contamination source characteristics (location; contamination source location; end time; injection pattern; start time; time
10.3390/w16071042,Applying Recurrent Neural Networks and Blocked Cross-Validation to Model Conventional Drinking Water Treatment Processes,2024,Water,coagulation,SCADA,GRU,MAE,0.044,walk_forward,none,pytorch,none,full_scale,1539890.0,4 years,False,False,True,True,False,False,ANN; GRU; LSTM; MLP; RNN,clarified water turbidity; clarified water turbidity 15 min in advance
10.3390/w16081090,En-WBF: A Novel Ensemble Learning Approach to Wastewater Quality Prediction Based on Weighted BoostForest,2024,Water,WWTP,mixed,En-WBF,R2,0.9938,random_split,none,not_specified,none,full_scale,1379.0,,False,False,True,False,True,False,ANN; Bagging; BoostTree; En-WBF; GBM; GBRT; LSTM; RF; RVM; SVR; Stacking; XG-Boost; XGBoost,effluent BOD; effluent BOD (biochemical oxygen demand)
10.3390/w16111561,Novel Ensemble Learning Approach for Predicting COD and TN: Model Development and Implementation,2024,Water,WWTP,SCADA,Voting Regressor,R2,0.9282,random_split,none,not_specified,advisory,full_scale,352.0,1.5 years,False,False,True,False,False,False,ANN; Bagging; Boosting; GBM; LR; MLR; RF; Voting; Voting Regressor; XGBoost,effluent COD and TN concentrations; effluent COD and TN concentrations in A2O process reactors
